neuron,cluster_index,feature,category,category_fine,iou,feature_length,w_entail,w_neutral,w_contra
679,0,((((hyp:tok:carrot OR hyp:tok:pets) OR pre:tok:starts) OR hyp:tok:photographing) OR pre:tok:rainy),((((hyp OR hyp) OR pre) OR hyp) OR pre),((((hyp:tok OR hyp:tok) OR pre:tok) OR hyp:tok) OR pre:tok),0.07142857142857142,5,-0.09093528,-0.06913015,0.05112834
685,0,(((((NOT oth:overlap:overlap50) AND pre:tag:nn) AND (NOT hyp:tok:has)) AND (NOT hyp:tok:outside)) OR hyp:tok:dress),(((((NOT oth) AND pre) AND (NOT hyp)) AND (NOT hyp)) OR hyp),(((((NOT oth:overlap) AND pre:tag) AND (NOT hyp:tok)) AND (NOT hyp:tok)) OR hyp:tok),0.03718556325191396,8,-0.043456294,-0.032634806,0.023196472
688,0,pre:tok:in,pre,pre:tok,0.0,1,-0.006851228,0.0058319075,-0.0023698318
689,0,(((((NOT oth:overlap:overlap75) AND pre:tag:nn) AND (NOT pre:tok:sitting)) AND (NOT hyp:tok:outside)) OR pre:tok:young),(((((NOT oth) AND pre) AND (NOT pre)) AND (NOT hyp)) OR pre),(((((NOT oth:overlap) AND pre:tag) AND (NOT pre:tok)) AND (NOT hyp:tok)) OR pre:tok),0.03107207752877044,8,-0.050139368,-0.02645245,0.040257875
691,0,((((NOT pre:tok:with) AND (oth:overlap:overlap75 OR pre:tok:person)) AND (NOT pre:tag:vbp)) OR pre:tok:shop),((((NOT pre) AND (oth OR pre)) AND (NOT pre)) OR pre),((((NOT pre:tok) AND (oth:overlap OR pre:tok)) AND (NOT pre:tag)) OR pre:tok),0.021406727828746176,7,-0.015574527,0.046655662,-0.019678487
692,0,(hyp:tok:is AND pre:tok:antique),(hyp AND pre),(hyp:tok AND pre:tok),1.0,2,0.03999628,-0.014923523,-0.08148684
698,0,pre:tok:in,pre,pre:tok,0.0,1,-0.07984399,0.08296815,-0.07255803
699,0,((((hyp:tok:alone OR hyp:tok:sleeping) OR hyp:tok:nobody) OR hyp:tok:empty) OR hyp:tok:asleep),((((hyp OR hyp) OR hyp) OR hyp) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.039085989176187615,5,-0.05539181,-0.039174315,0.06591627
700,0,((((hyp:tok:floor AND hyp:tok:is) OR pre:tok:college) OR pre:tok:gymnasium) AND pre:tag:jj),((((hyp AND hyp) OR pre) OR pre) AND pre),((((hyp:tok AND hyp:tok) OR pre:tok) OR pre:tok) AND pre:tag),0.09259259259259259,5,0.033539146,-0.089527294,-0.0638582
703,0,(((((NOT hyp:tag:in) AND hyp:tok:is) AND (NOT hyp:tag:vbg)) OR hyp:tok:wearing) OR hyp:tok:nobody),(((((NOT hyp) AND hyp) AND (NOT hyp)) OR hyp) OR hyp),(((((NOT hyp:tag) AND hyp:tok) AND (NOT hyp:tag)) OR hyp:tok) OR hyp:tok),0.02241662110442865,7,-0.05030949,0.051236767,-0.053728953
705,0,((((hyp:tok:human OR hyp:tok:tv) OR hyp:tok:humans) OR pre:tok:military) OR pre:tok:pick),((((hyp OR hyp) OR hyp) OR pre) OR pre),((((hyp:tok OR hyp:tok) OR hyp:tok) OR pre:tok) OR pre:tok),0.030054644808743168,5,0.07912828,-0.051258206,-0.11346111
710,0,(((hyp:tok:firefighter AND pre:tok:his) OR pre:tok:courtyard) AND (NOT pre:tag:nns)),(((hyp AND pre) OR pre) AND (NOT pre)),(((hyp:tok AND pre:tok) OR pre:tok) AND (NOT pre:tag)),0.18181818181818182,5,-0.057838455,-0.03495913,-0.10804906
715,0,((((hyp:tok:tall OR pre:tok:nap) OR hyp:tok:years) OR pre:tok:boxer) OR pre:tok:bottles),((((hyp OR pre) OR hyp) OR pre) OR pre),((((hyp:tok OR pre:tok) OR hyp:tok) OR pre:tok) OR pre:tok),0.0743801652892562,5,-0.054018017,0.014428062,-0.10345787
716,0,(((hyp:tok:park AND hyp:tok:people) AND hyp:tag:jj) AND pre:tok:with),(((hyp AND hyp) AND hyp) AND pre),(((hyp:tok AND hyp:tok) AND hyp:tag) AND pre:tok),0.04878048780487805,4,0.04493921,-0.0014695576,-0.12334583
719,0,((((NOT hyp:tag:vbz) AND (hyp:tag:. AND hyp:tok:human)) OR pre:tok:singer) AND hyp:tag:vbg),((((NOT hyp) AND (hyp AND hyp)) OR pre) AND hyp),((((NOT hyp:tag) AND (hyp:tag AND hyp:tok)) OR pre:tok) AND hyp:tag),0.1111111111111111,6,0.056007404,-0.08311471,-0.21111852
722,0,(hyp:tok:girl AND pre:tok:ramp),(hyp AND pre),(hyp:tok AND pre:tok),0.3333333333333333,2,-0.059480082,0.009835911,-0.0065606735
723,0,(hyp:tok:his AND pre:tok:tourists),(hyp AND pre),(hyp:tok AND pre:tok),0.14285714285714285,2,-0.14299263,-0.09313669,0.08676891
725,0,((((hyp:tok:driving OR hyp:tok:eating) OR hyp:tok:riding) OR hyp:tok:beach) OR hyp:tok:cat),((((hyp OR hyp) OR hyp) OR hyp) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.03167746580273578,5,-0.026412055,-0.009949611,0.06307054
729,0,((((NOT hyp:tag:vbg) AND (hyp:tok:2 OR hyp:tok:old)) OR hyp:tok:moving) AND (NOT hyp:tag:in)),((((NOT hyp) AND (hyp OR hyp)) OR hyp) AND (NOT hyp)),((((NOT hyp:tag) AND (hyp:tok OR hyp:tok)) OR hyp:tok) AND (NOT hyp:tag)),0.0425531914893617,7,-0.0504287,-0.04379353,0.042234633
732,0,((((hyp:tok:interested OR pre:tok:picnic) AND pre:tok:on) AND hyp:tag:vbg) AND hyp:tag:in),((((hyp OR pre) AND pre) AND hyp) AND hyp),((((hyp:tok OR pre:tok) AND pre:tok) AND hyp:tag) AND hyp:tag),0.125,5,-0.09619552,-0.012844551,0.09020831
733,0,((((hyp:tok:and AND oth:overlap:overlap75) OR pre:tok:pumpkin) OR pre:tok:river) AND hyp:tag:in),((((hyp AND oth) OR pre) OR pre) AND hyp),((((hyp:tok AND oth:overlap) OR pre:tok) OR pre:tok) AND hyp:tag),0.04187604690117253,5,-0.031803567,0.063482724,-0.050735053
738,0,((((NOT hyp:tok:not) AND (hyp:tag:nns OR pre:tag:nn)) OR pre:tok:man) AND (NOT hyp:tok:nobody)),((((NOT hyp) AND (hyp OR pre)) OR pre) AND (NOT hyp)),((((NOT hyp:tok) AND (hyp:tag OR pre:tag)) OR pre:tok) AND (NOT hyp:tok)),0.053988079497141926,7,0.017949222,0.020888612,-0.051172018
741,0,((((NOT pre:tok:standing) AND (hyp:tok:standing OR pre:tok:bench)) OR hyp:tok:skating) OR hyp:tok:across),((((NOT pre) AND (hyp OR pre)) OR hyp) OR hyp),((((NOT pre:tok) AND (hyp:tok OR pre:tok)) OR hyp:tok) OR hyp:tok),0.03744939271255061,6,-0.17642961,-0.009952819,0.09706494
742,0,(((((NOT pre:tok:woman) AND hyp:tok:woman) OR pre:tok:kicking) OR pre:tok:steel) OR hyp:tok:ladies),(((((NOT pre) AND hyp) OR pre) OR pre) OR hyp),(((((NOT pre:tok) AND hyp:tok) OR pre:tok) OR pre:tok) OR hyp:tok),0.02699896157840083,6,0.045337167,-0.09702299,0.054693706
743,0,(((((NOT oth:overlap:overlap50) AND hyp:tag:in) AND hyp:tag:.) OR hyp:tok:eating) AND (NOT pre:tag:vbn)),(((((NOT oth) AND hyp) AND hyp) OR hyp) AND (NOT pre)),(((((NOT oth:overlap) AND hyp:tag) AND hyp:tag) OR hyp:tok) AND (NOT pre:tag)),0.02610153256704981,7,-0.12575293,-0.03330872,0.058260784
744,0,(((((NOT oth:overlap:overlap50) AND pre:tag:nn) OR hyp:tok:sleeping) OR hyp:tok:fight) OR hyp:tok:couple),(((((NOT oth) AND pre) OR hyp) OR hyp) OR hyp),(((((NOT oth:overlap) AND pre:tag) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.05494073090354631,6,-0.07419497,0.0076938905,0.011533185
745,0,(hyp:tok:vehicles AND pre:tok:racing),(hyp AND pre),(hyp:tok AND pre:tok),0.16666666666666666,2,-0.02774647,-0.03777008,-0.080677904
750,0,((((NOT pre:tag:vbn) AND (hyp:tok:throw OR pre:tok:advertising)) AND hyp:tag:in) AND (NOT hyp:tok:with)),((((NOT pre) AND (hyp OR pre)) AND hyp) AND (NOT hyp)),((((NOT pre:tag) AND (hyp:tok OR pre:tok)) AND hyp:tag) AND (NOT hyp:tok)),0.07407407407407407,7,0.029477775,-0.07790731,-0.07903202
