neuron,cluster_index,feature,category,category_fine,iou,feature_length,w_entail,w_neutral,w_contra
65,2,((((hyp:tok:bicycle OR hyp:tok:bike) AND pre:tag:in) AND pre:tag:.) AND pre:tag:dt),((((hyp OR hyp) AND pre) AND pre) AND pre),((((hyp:tok OR hyp:tok) AND pre:tag) AND pre:tag) AND pre:tag),0.016853932584269662,5,-0.12863564,-0.067493185,0.110098556
67,0,pre:tok:in,pre,pre:tok,0.0,1,-0.12804317,0.06296108,0.00078801997
67,1,pre:tok:in,pre,pre:tok,0.0,1,-0.12804317,0.06296108,0.00078801997
67,2,pre:tok:in,pre,pre:tok,0.0,1,-0.12804317,0.06296108,0.00078801997
70,0,(((((NOT oth:overlap:overlap50) AND hyp:tag:nn) AND (NOT pre:tok:with)) AND (NOT hyp:tok:man)) OR hyp:tok:eating),(((((NOT oth) AND hyp) AND (NOT pre)) AND (NOT hyp)) OR hyp),(((((NOT oth:overlap) AND hyp:tag) AND (NOT pre:tok)) AND (NOT hyp:tok)) OR hyp:tok),0.031486146095717885,8,-0.09529671,-0.019174349,0.051407162
70,1,(((((NOT oth:overlap:overlap75) AND hyp:tag:.) AND (NOT pre:tok:sitting)) AND hyp:tag:nn) AND (NOT hyp:tag:vbd)),(((((NOT oth) AND hyp) AND (NOT pre)) AND hyp) AND (NOT hyp)),(((((NOT oth:overlap) AND hyp:tag) AND (NOT pre:tok)) AND hyp:tag) AND (NOT hyp:tag)),0.01496437054631829,8,-0.09529671,-0.019174349,0.051407162
70,2,(((((NOT oth:overlap:overlap50) AND hyp:tag:nn) AND (NOT hyp:tok:to)) AND (NOT pre:tok:red)) AND (NOT hyp:tok:for)),(((((NOT oth) AND hyp) AND (NOT hyp)) AND (NOT pre)) AND (NOT hyp)),(((((NOT oth:overlap) AND hyp:tag) AND (NOT hyp:tok)) AND (NOT pre:tok)) AND (NOT hyp:tok)),0.006904487917146145,9,-0.09529671,-0.019174349,0.051407162
71,0,((((NOT hyp:tag:vb) AND (pre:tag:nn OR pre:tag:nns)) AND (NOT pre:tok:smiling)) AND (NOT pre:tok:runs)),((((NOT hyp) AND (pre OR pre)) AND (NOT pre)) AND (NOT pre)),((((NOT hyp:tag) AND (pre:tag OR pre:tag)) AND (NOT pre:tok)) AND (NOT pre:tok)),0.06257330113832356,8,0.0054669827,-0.04855686,0.022421855
71,1,(((((NOT hyp:tag:vb) AND pre:tag:nn) AND (NOT hyp:tok:for)) OR pre:tok:american) OR hyp:tok:group),(((((NOT hyp) AND pre) AND (NOT hyp)) OR pre) OR hyp),(((((NOT hyp:tag) AND pre:tag) AND (NOT hyp:tok)) OR pre:tok) OR hyp:tok),0.02488512571635087,7,0.0054669827,-0.04855686,0.022421855
71,2,(((((NOT oth:overlap:overlap75) AND pre:tag:nn) AND (NOT pre:tok:next)) OR pre:tok:midair) OR pre:tok:grass),(((((NOT oth) AND pre) AND (NOT pre)) OR pre) OR pre),(((((NOT oth:overlap) AND pre:tag) AND (NOT pre:tok)) OR pre:tok) OR pre:tok),0.011233269598470364,7,0.0054669827,-0.04855686,0.022421855
